"SKU","Product Name","Description","Specifications","Shipping Weight & Dimensions","Main Image"
"AAG1134905","Mina Weekly/Monthly Planner, Floral Artwork, 11 x 8.5, White/Violet/Peach Cover, 12-Month (Jan to Dec): 2025","Planner covers a 12-month date range from January - December with Julian dates. One week per two-page spread with ruled planning space and notes section. Weeks run Monday Sunday. One month per two-page spread with unruled daily blocks and notes space provide plenty of room for scheduling and reminders. Each month is tabbed to quickly flip to any date. Past and future month reference calendars also included. Special pages include notes, contacts and event calendar pages. Double-sided poly pocket for storage included. Planner is wirebound.","Global Product Type: Appointment Book/Personal Organizers
Calendar Format: Weekly,Monthly
Edition Year: 2025
Academic Year: No
Julian Dates: Yes
Binding Type: Wire-O
Color Family: Multicolor
Dated/Undated: Dated
Calendar Spread Format: One Week per Two-Page Spread,One Month per Two-Page Spread
Calendar Term: 12-Month (Jan to Dec)
Size (Bound-Side First): 11 x 8.5
Binding Details: Twin-Wire
Cover Theme: Floral Artwork
Cover Color(s): White/Violet/Peach
Cover Material(s): Poly
Page Theme: Floral Artwork
Appointment Ruling: Open Scheduling
Calendar Reference Blocks: Past Month,Future Month
Sheet Color(s): White/Violet/Peach
Pocket Details: (2) Interior Storage Pockets
Reversible: No
Refillable (Yes/No): No
Seasonal Availability: Yes
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Country Of Origin: VN
Carton Weight: 14  lbs.
Carton Pack Quantity: 12 EA
Pack Quantity: 0
UPC: 038576331129
UNSPSC: 44112004","Weight: 1.167  lbs.
Length: 0.563  in
Height: 11  in
Width: 9.25  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/731935.JPG"
"AAG122905","Vienna Weekly/Monthly Appointment Book, Geometric Artwork, 11 x 8.5, Purple/Tan Cover, 12-Month (Jan to Dec): 2025","The classic medallion design is given a twist by pairing it with these vibrant colors. Fun, die-cut durable poly cover is great for both work and home. Monthly tabs for reference and quick navigation. Block format: open scheduling. Weekly: one week per two-page spread. Monthly: one month per two-page spread with notes space. Past and future months reference on each monthly page.","Global Product Type: Appointment Book/Personal Organizers
Calendar Format: Weekly,Monthly
Edition Year: 2025
Academic Year: No
Julian Dates: Yes
Binding Type: Wire-O
Color Family: Purple
Dated/Undated: Dated
Calendar Spread Format: One Week per Two-Page Spread,One Month per Two-Page Spread
Calendar Term: 12-Month (Jan to Dec)
Size (Bound-Side First): 11 x 8.5
Binding Details: Twin-Wire
Cover Theme: Geometric Artwork
Cover Color(s): Purple/Tan
Cover Material(s): Poly
Page Theme: Geometric Artwork
Appointment Ruling: Open Scheduling
Calendar Reference Blocks: Past Month,Future Month
Sheet Color(s): White/Multicolor
Pocket Details: (1) Two-Sided Interior Storage Pocket
Reversible: No
Refillable (Yes/No): No
Seasonal Availability: Yes
Product Biodegradability in Days: 0
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Country Of Origin: VN
Carton Weight: 14  lbs.
Carton Pack Quantity: 12 EA
Pack Quantity: 0
UPC: 038576331327
UNSPSC: 44112004","Weight: 1.139  lbs.
Length: 0.625  in
Height: 11.125  in
Width: 9.625  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/15015197.JPG"
"AAG160670404","WorkStyle Monthly Desk Pad Calendar, 21.75 x 17, White Sheets, Brown/Gold Headband, Clear Corners, 12-Month (Jan-Dec): 2025","Simple. Sophisticated. Stylish. Embrace your inner fashionista, and keep your plans on track throughout the year with the WorkStyle Monthly Desk Pad Calendar. Never miss a moment. This calendar's monthly pages feature unruled daily blocks designed for detailed year-round planning, making it easy to see your big-picture plans in an instant. Create a lasting relationship with your calendar. The durable top binding helps the calendar stand up to wear and tear, and its pre-punched eyelets accommodate wall hanging. Keep your pages organized. Two poly corners help keep pages flat. Each page is also perforated for neat and easy removal.","Global Product Type: Desk Pad Calendars
Calendar Format: Monthly
Edition Year: 2025
Academic Year: No
Julian Dates: No
Binding Type: Taped
Color Family: White
Dated/Undated: Dated
Calendar Spread Format: One Month per Page
Calendar Term: 12-Month (Jan to Dec)
Size (Bound-Side First): 21.75 x 17
Binding Color(s): Brown/Gold
Corner Color(s): Clear
Sheet Color(s): White
Punching: Top: 2-Hole
Hanger Style: Punched Eyelets
Reversible: No
Refillable (Yes/No): No
Seasonal Availability: Yes
Age Recommendation: Ages 12 and Up
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Footnote 1: Daily Block Size: 2.5"" x 2""
Country Of Origin: CN
Carton Weight: 11  lbs.
Carton Pack Quantity: 12 EA
Pack Quantity: 0
UPC: 038576369528
UNSPSC: 44112002","Weight: 0.884  lbs.
Length: 0.125  in
Height: 17  in
Width: 21.75  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/901835.JPG"
"AAG160609112","Workstyle Monthly Stitched Planner, Geometric Artwork, 11 x 8.5, Seaside Blue/Gold Cover, 12-Month (Jan to Dec): 2025","Simple. Sophisticated. Stylish. Embrace your inner fashionista, and keep all of your plans, deadlines and more stored within the WorkStyle Stitched Monthly Planner. It's perfect for any professional, providing you with more ways to stay organized all year long. Never miss a moment. Block-format monthly spreads let you see your big picture plans in an instant, and a wide variety of special pages found in the back of the book help you stay on track. Create a lasting relationship with your planner. Durable, saddle-stitched cover helps the planner stand up to everyday-use-related wear and tear, keeping your pages and your plans secure.","Global Product Type: Appointment Book/Personal Organizers
Calendar Format: Monthly
Edition Year: 2025
Academic Year: No
Julian Dates: No
Binding Type: Stapled
Color Family: Blue
Dated/Undated: Dated
Calendar Spread Format: One Month per Two-Page Spread
Calendar Term: 12-Month (Jan to Dec)
Size (Bound-Side First): 11 x 8.5
Binding Details: Saddle Stitched: Flexible Cover
Cover Theme: Geometric Artwork
Cover Color(s): Seaside Blue/Gold
Cover Material(s): Simulated Leather
Separate Sections: Four-Year Holiday List,Future Dates,My Goals,Ruled Notes Pages,Three-Year Reference Calendar
Sheet Color(s): White
Reversible: No
Refillable (Yes/No): No
Seasonal Availability: Yes
Age Recommendation: Ages 12 and Up
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Footnote 1: Daily Block Size: 1.88"" x 1.88""
Country Of Origin: VN
Carton Weight: 4  lbs.
Carton Pack Quantity: 12 EA
Pack Quantity: 0
UPC: 038576369627
UNSPSC: 44112004","Weight: 0.346  lbs.
Length: 0.188  in
Height: 11  in
Width: 8.5  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/901849.JPG"
"AAG109980556","Harmony Weekly/Monthly Poly Planner, 8.88 x 7.69, Purple/Gold Cover, 13-Month (Jan to Jan): 2025 to 2026","Keep it all together in Harmony this year. The Harmony Weekly/Monthly planner provides the unique layouts and special pages you need to capture just about every aspect of your life, so you can focus on the things that matter. Weekly spreads feature plenty of space for each day as well as dedicated areas for your week's goals, wins, to-dos and more. Tabbed for easy navigation, each monthly spread features unruled daily blocks along with areas for the month's goals, to-dos, notes and ideas. In the back of the book, a wide range of resources along with both formatted and unformatted notes and planning pages help you do everything from prioritizing your biggest projects to finding the perfect gifts for the special people in your life. Color-coded repositionable stickers make it easy to add and remove eye-catching notes to all of your important projects, events, appointments and more. Durable, stylish poly cover with gold twin-wire binding adds an element of gratifying sophistication to every practical task, and the double-sided interior pocket hangs onto any loose materials you'd like to keep close. Printed on high-quality paper for superior ink-bleed resistance.","Global Product Type: Appointment Book/Personal Organizers
Calendar Format: Weekly,Monthly
Edition Year: 2025 to 2026
Academic Year: No
Julian Dates: No
Binding Type: Wire-O
Color Family: Purple
Dated/Undated: Dated
Calendar Spread Format: One Week per Two-Page Spread,One Month per Two-Page Spread
Calendar Term: 13-Month (Jan to Jan)
Size (Bound-Side First): 8.88 x 7.69
Binding Details: Twin-Wire: Flexible Cover
Cover Color(s): Purple/Gold
Cover Material(s): Poly
Binding Color(s): Gold
Appointment Ruling: Open Scheduling
Separate Sections: ""Connect With"" Contact Pages,Four-Year Holiday List,""Looking Ahead"" Future Planning Pages,Quad Ruled Notes Pages,Standard Ruled Notes Pages,Three-Year Reference Calendar
Sheet Color(s): White
Pocket Details: (1) Two-Sided Storage Pocket
Reversible: No
Refillable (Yes/No): No
Seasonal Availability: Yes
Age Recommendation: Ages 12 and Up
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Package Includes: (1) Sheet of Repositionable Color-Coding & Labeling Stickers
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Country Of Origin: VN
Carton Weight: 12  lbs.
Carton Pack Quantity: 12 EA
Pack Quantity: 0
UPC: 038576356122
UNSPSC: 44112004","Weight: 0.992  lbs.
Length: 0.688  in
Height: 8.875  in
Width: 7.688  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/901844.JPG"
"AAG109980520","Harmony Weekly/Monthly Poly Planner, 8.88 x 7.69, Blue/Gold Cover, 13-Month (Jan to Jan): 2025 to 2026","Keep it all together in Harmony this year. The Harmony Weekly/Monthly planner provides the unique layouts and special pages you need to capture just about every aspect of your life, so you can focus on the things that matter. Weekly spreads feature plenty of space for each day as well as dedicated areas for your week's goals, wins, to-dos and more. Tabbed for easy navigation, each monthly spread features unruled daily blocks along with areas for the month's goals, to-dos, notes and ideas. In the back of the book, a wide range of resources along with both formatted and unformatted notes and planning pages help you do everything from prioritizing your biggest projects to finding the perfect gifts for the special people in your life. Color-coded repositionable stickers make it easy to add and remove eye-catching notes to all of your important projects, events, appointments and more. Durable, stylish poly cover with gold twin-wire binding adds an element of gratifying sophistication to every practical task, and the double-sided interior pocket hangs onto any loose materials you'd like to keep close. Printed on high-quality paper for superior ink-bleed resistance.","Global Product Type: Appointment Book/Personal Organizers
Calendar Format: Weekly,Monthly
Edition Year: 2025 to 2026
Academic Year: No
Julian Dates: No
Binding Type: Wire-O
Color Family: Blue
Dated/Undated: Dated
Calendar Spread Format: One Week per Two-Page Spread,One Month per Two-Page Spread
Calendar Term: 13-Month (Jan to Jan)
Size (Bound-Side First): 8.88 x 7.69
Binding Details: Twin-Wire: Flexible Cover
Cover Color(s): Blue/Gold
Cover Material(s): Poly
Binding Color(s): Gold
Appointment Ruling: Open Scheduling
Separate Sections: ""Connect With"" Contact Pages,Four-Year Holiday List,""Looking Ahead"" Future Planning Pages,Quad Ruled Notes Pages,Standard Ruled Notes Pages,Three-Year Reference Calendar
Sheet Color(s): White
Pocket Details: (1) Two-Sided Storage Pocket
Reversible: No
Refillable (Yes/No): No
Seasonal Availability: Yes
Age Recommendation: Ages 12 and Up
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Package Includes: (1) Sheet of Repositionable Color-Coding & Labeling Stickers
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Country Of Origin: VN
Carton Weight: 13  lbs.
Carton Pack Quantity: 12 EA
Pack Quantity: 0
UPC: 038576330924
UNSPSC: 44112004","Weight: 1.042  lbs.
Length: 0.688  in
Height: 8.875  in
Width: 7.688  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/901911.JPG"
"AAG109990556","Harmony Weekly/Monthly Poly Planner, Weekly: Vertical Format, 11 x 9.38, Purple/Gold Cover, 13-Month (Jan to Jan): 2025-2026","Keep it all together in Harmony this year. The Harmony Weekly/Monthly planner provides the unique layouts and special pages you need to capture just about every aspect of your life, so you can focus on the things that matter. Weekly spreads feature plenty of space for each day as well as dedicated areas for your week's goals, wins, to-dos and more. Tabbed for easy navigation, each monthly spread features unruled daily blocks along with areas for the month's goals, to-dos, notes and ideas. In the back of the book, a wide range of resources along with both formatted and unformatted notes and planning pages help you do everything from prioritizing your biggest projects to finding the perfect gifts for the special people in your life. Color-coded repositionable stickers make it easy to add and remove eye-catching notes to all of your important projects, events, appointments and more. Durable, stylish poly cover with gold twin-wire binding adds an element of gratifying sophistication to every practical task, and the double-sided interior pocket hangs onto any loose materials you'd like to keep close. Printed on high-quality paper for superior ink-bleed resistance.","Global Product Type: Appointment Book/Personal Organizers
Calendar Format: Weekly,Monthly
Edition Year: 2025 to 2026
Academic Year: No
Julian Dates: No
Binding Type: Wire-O
Color Family: Purple
Dated/Undated: Dated
Calendar Spread Format: One Week per Two-Page Spread,One Month per Two-Page Spread
Calendar Term: 13-Month (Jan to Jan)
Size (Bound-Side First): 11 x 9.38
Binding Details: Twin-Wire: Flexible Cover
Cover Color(s): Purple/Gold
Cover Material(s): Poly
Binding Color(s): Gold
Appointment Ruling: Open Scheduling
Separate Sections: ""Connect With"" Contact Pages,Four-Year Holiday List,""Looking Ahead"" Future Planning Pages,Quad Ruled Notes Pages,Standard Ruled Notes Pages,Three-Year Reference Calendar
Sheet Color(s): White
Pocket Details: (1) Two-Sided Storage Pocket
Reversible: No
Refillable (Yes/No): No
Seasonal Availability: Yes
Age Recommendation: Ages 12 and Up
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Package Includes: (1) Sheet of Repositionable Color-Coding & Labeling Stickers
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Special Features: Weekly: Vertical Format Spreads
Country Of Origin: VN
Carton Weight: 18  lbs.
Carton Pack Quantity: 12 EA
Pack Quantity: 0
UPC: 038576356054
UNSPSC: 44112004","Weight: 1.521  lbs.
Length: 0.688  in
Height: 11  in
Width: 9.375  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/901903.JPG"
"AAG013200","Lined Notes Pages for Planners/Organizers, 6.75 x 3.75, White Sheets, Undated, 30 Sheets","Lined notes pages are loose-leaf for easy insert and removal. High-quality paper features superior ink bleed resistance. Undated format to use anytime for list and notes of all kinds. Punched for fit with any matching size ring planner or organizer.","Global Product Type: Appointment Book/Personal Organizer Refills
Academic Year: No
Julian Dates: No
Color Family: White
Dated/Undated: Undated
Size (Bound-Side First): 6.75 x 3.75
Sheets per Calendar/Planner: 30
Sheet Color(s): White
Reversible: No
Refill Type: Notes/Memos Pages
For Use With: AT-A-GLANCE® Planners/Organizers
Seasonal Availability: No
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Country Of Origin: VN
Carton Weight: 2  lbs.
Carton Pack Quantity: 18 EA
Pack Quantity: 0
UPC: 089138023792
UNSPSC: 44112005","Weight: 0.114  lbs.
Length: 6.813  in
Height: 0.25  in
Width: 3.75  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/15011222.JPG"
"AAG011200","Lined Notes Pages for Planners/Organizers, 8.5 x 5.5, White Sheets, Undated, 30 Sheets","Lined notes pages are loose-leaf for easy insert and removal. High-quality paper features superior ink bleed resistance. Undated format to use anytime for list and notes of all kinds. Punched for fit with any matching size ring planner or organizer.","Global Product Type: Appointment Book/Personal Organizer Refills
Academic Year: No
Julian Dates: No
Color Family: White
Dated/Undated: Undated
Size (Bound-Side First): 8.5 x 5.5
Sheets per Calendar/Planner: 30
Sheet Color(s): White
Reversible: No
Refill Type: Notes/Memos Pages
For Use With: AT-A-GLANCE® Planners/Organizers
Seasonal Availability: No
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Country Of Origin: CN
Carton Weight: 4  lbs.
Carton Pack Quantity: 18 EA
Pack Quantity: 0
UPC: 089138024195
UNSPSC: 44112005","Weight: 0.2  lbs.
Length: 8.5  in
Height: 0.156  in
Width: 5.5  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/658236.JPG"
"AAG160670512","WorkStyle Compact Monthly Desk Pad Calendar, 17.75 x 11, White Sheets, Blue/Gold Headband, 12-Month (Jan to Dec): 2025","Simple. Sophisticated. Stylish. Embrace your inner fashionista, and keep your plans on track throughout the year with the WorkStyle Compact Monthly Desk Pad Calendar. Never miss a moment. This calendar's monthly pages feature unruled daily blocks designed for detailed year-round planning, making it easy to see your big-picture plans in an instant. Create a lasting relationship with your calendar. The durable top binding helps the calendar stand up to wear and tear, and its pre-punched eyelets accommodate wall hanging. Keep your pages organized. Two poly corners help keep pages flat, while a clear overlay helps protect your planning notes. Each page is also perforated for neat and easy removal.","Global Product Type: Desk Pad Calendars
Calendar Format: Monthly
Edition Year: 2025
Academic Year: No
Julian Dates: No
Binding Type: Taped
Color Family: White
Dated/Undated: Dated
Calendar Spread Format: One Month per Page
Calendar Term: 12-Month (Jan to Dec)
Size (Bound-Side First): 17.75 x 11
Binding Details: Headband
Binding Color(s): Blue/Gold
Corner Color(s): Clear
Sheet Color(s): White/Gold
Punching: Top: 2-Hole
Holder Style: Two-Corner Desk Pad with Backboard and Clear Overlay (Included)
Holder Color: Natural/Clear
Holder Material: Paper,Poly
Hanger Style: Punched Eyelets
Reversible: No
Refillable (Yes/No): No
Seasonal Availability: Yes
Age Recommendation: Ages 12 and Up
Product Biodegradability Indicator: N
Product Biodegradability in Days: 0
Product Compostability Indicator: N
Pre-Consumer Recycled Content Percent: 0%
Post-Consumer Recycled Content Percent: 0%
Total Recycled Content Percent: 0%
Footnote 1: Daily Block Size: 2.5"" x 1""
Country Of Origin: CN
Carton Weight: 6  lbs.
Carton Pack Quantity: 12 EA
Pack Quantity: 0
UPC: 038576369450
UNSPSC: 44112002","Weight: 0.52  lbs.
Length: 0.125  in
Height: 11  in
Width: 18  in","https://content.oppictures.com/Master_Images/Master_Variants/Variant_500/901916.JPG"
